ID,Romance,Scifi,commutetime,peopleaday,smilesaday,renting,Fitnesspriority,Weatherchecker,Newsreader,Cookalot,WorkoutFreq,HealthyeatFreq,Single,Romantictime,Preffirstdate,PhoneBrd,extrovert,healthful,rvromantictime,busy
1,2,2,3,5,5,1,1,2,2,2,3,4,1,3,2,1,10,7,3,5
2,3,5,4,5,5,2,2,5,5,3,2,4,1,4,2,1,10,6,2,7
3,4,5,5,5,5,1,1,3,5,2,3,5,1,5,2,2,10,8,1,6
4,3,5,4,1,1,2,2,5,5,2,2,5,1,4,1,2,2,7,2,7
5,4,3,5,1,1,1,1,4,3,2,4,5,1,5,2,2,2,9,1,4
6,4,4,4,1,1,1,1,3,4,1,4,4,1,4,2,1,2,8,2,6
7,3,4,4,3,3,2,2,5,4,1,4,4,1,4,2,1,6,8,2,6
8,5,1,4,3,3,1,1,3,1,2,4,4,1,4,2,1,6,8,2,3
9,3,3,5,1,1,1,1,3,3,3,3,4,1,5,1,1,2,7,1,4
10,2,1,5,2,2,2,2,3,1,2,2,3,1,5,2,1,4,5,1,2
11,3,2,3,3,3,1,1,3,2,3,4,4,1,3,2,2,6,8,3,5
12,3,5,4,4,4,2,2,5,3,1,5,5,1,4,1,2,8,10,2,5
13,4,1,5,5,5,1,1,3,3,2,4,5,1,5,2,2,10,9,1,4
14,4,1,2,2,2,2,2,3,4,3,3,3,1,2,1,2,4,6,4,8
15,4,2,3,3,3,1,1,3,4,3,3,3,1,3,2,2,6,6,3,7
16,4,4,5,1,1,1,1,5,4,2,4,4,1,5,2,2,2,8,1,5
17,2,2,4,4,4,1,1,3,4,1,3,4,1,4,3,4,8,7,2,6
18,3,1,5,3,3,1,1,3,2,4,3,4,1,5,2,3,6,7,1,3
19,3,1,3,3,3,1,1,3,3,2,4,5,1,3,4,3,6,9,3,6
20,2,4,5,4,4,1,1,1,3,3,3,4,1,5,2,4,8,7,1,4
21,3,5,4,5,5,1,1,3,2,3,4,5,1,5,3,3,10,9,1,3
22,2,3,5,4,4,1,2,3,3,2,3,4,1,4,3,1,8,7,2,5
23,1,4,5,3,3,1,2,3,2,5,4,5,1,3,2,5,6,9,3,5
24,3,3,3,3,1,2,1,4,1,5,4,5,1,4,1,3,4,9,2,3
25,4,5,6,4,2,1,2,1,3,3,2,4,1,4,2,1,6,6,2,5
26,5,4,6,3,2,1,2,3,4,3,3,5,1,5,3,4,5,8,1,5
27,2,4,5,3,4,2,2,4,5,2,4,5,1,3,2,1,7,9,3,8
28,2,5,6,4,2,1,1,3,2,5,4,4,1,4,4,1,6,8,2,4
29,5,1,4,5,2,1,1,4,2,2,4,5,1,5,2,1,7,9,1,3
30,3,1,3,3,2,1,2,5,5,2,4,4,1,3,2,1,5,8,3,8
31,3,4,5,4,4,2,2,5,3,3,3,5,1,4,2,1,8,8,2,5
32,3,4,5,3,2,1,2,4,3,2,3,3,1,3,2,1,5,6,3,6
33,2,3,3,3,2,1,2,4,3,2,4,5,1,3,1,1,5,9,3,6
34,2,3,4,3,2,1,2,5,2,3,3,3,1,3,4,2,5,6,3,5
35,3,2,6,5,2,1,1,2,2,3,5,5,1,5,2,2,7,10,1,3
85,3,1,3,3,2,1,2,3,3,2,4,4,1,3,2,2,5,8,3,6
